timestamp,model_name,training_time,batch_size,learning_rate,epochs,test_accuracy,train_accuracy
2025-03-09 14:50:11,EfficientNet_B0,1:23:48.774691,5,0.001,50,21.22772277227723,83.23432343234323
2025-03-09 19:12:08,EfficientNet_V2_S,4:21:56.456286,5,0.001,50,14.099009900990099,31.405940594059405
2025-03-10 04:55:48,FE_EffNet_V2_S,5:18:31.266837,5,0.001,150,42.53465346534654,74.05940594059406
2025-03-10 11:08:24,FE_EffNet_B0,3:03:21.274439,5,0.001,150,38.57425742574257,75.60396039603961
